location,date,new_diagnoses,new_diagnoses_all,new_tests_raw,new_tests,cum_tests,cum_diagnoses,cum_diagnoses_all,cum_deaths,new_deaths,index
QLD,2020-02-15,0,0,28,37,28,0,9,0,0,0
QLD,2020-02-16,0,1,25,40,53,0,10,0,0,1
QLD,2020-02-17,0,0,72,49,125,0,10,0,0,2
QLD,2020-02-18,0,0,110,60,235,0,10,0,0,3
QLD,2020-02-19,0,1,74,75,309,0,11,0,0,4
QLD,2020-02-20,0,2,102,88,411,0,13,0,0,5
QLD,2020-02-21,0,2,102,100,513,0,15,0,0,6
QLD,2020-02-22,0,1,47,108,560,0,16,0,0,7
QLD,2020-02-23,0,1,36,114,596,0,17,0,0,8
QLD,2020-02-24,0,0,146,147,742,0,17,0,0,9
QLD,2020-02-25,0,1,165,181,907,0,18,0,0,10
QLD,2020-02-26,0,1,214,217,1121,0,19,0,0,11
QLD,2020-02-27,0,2,192,263,1313,0,21,0,0,12
QLD,2020-02-28,0,0,189,310,1502,0,21,0,0,13
QLD,2020-02-29,0,0,114,328,1616,0,21,0,0,14
QLD,2020-03-01,0,2,125,357,1741,0,23,0,0,15
QLD,2020-03-02,1,4,523,536,2264,1,27,0,0,16
QLD,2020-03-03,0,2,572,692,2836,1,29,0,0,17
QLD,2020-03-04,1,1,661,831,3497,2,30,0,0,18
QLD,2020-03-05,0,3,759,1022,4256,2,33,0,0,19
QLD,2020-03-06,1,6,802,1278,5058,3,39,0,0,20
QLD,2020-03-07,2,7,380,1367,5438,5,46,0,0,21
QLD,2020-03-08,1,13,472,1428,5910,6,59,0,0,22
QLD,2020-03-09,3,23,2723,1708,8633,9,82,0,0,23
QLD,2020-03-10,1,18,2486,1872,11119,10,100,1,1,24
QLD,2020-03-11,4,22,2256,1981,13375,14,122,1,0,25
QLD,2020-03-12,10,27,3071,2069,16446,24,149,1,0,26
QLD,2020-03-13,6,31,4033,2144,20479,30,180,1,0,27
QLD,2020-03-14,6,27,1531,2165,22010,36,207,1,0,28
QLD,2020-03-15,9,40,1028,2203,23038,45,247,1,0,29
QLD,2020-03-16,10,42,4322,2325,27360,55,289,1,0,30
QLD,2020-03-17,17,61,2990,2288,30350,72,350,1,0,31
QLD,2020-03-18,12,67,2200,2271,32550,84,417,1,0,32
QLD,2020-03-19,8,87,1978,2317,34528,92,504,1,0,33
QLD,2020-03-20,12,71,1893,2286,36421,104,575,1,0,34
QLD,2020-03-21,10,70,1111,2113,37532,114,645,1,0,35
QLD,2020-03-22,15,65,945,2071,38477,129,710,2,1,36
QLD,2020-03-23,20,70,2304,2161,40781,149,780,2,0,37
QLD,2020-03-24,10,52,2175,2005,42956,159,832,2,0,38
QLD,2020-03-25,10,37,2225,1922,45181,169,869,2,0,39
QLD,2020-03-26,4,24,2945,1874,48126,173,893,3,1,40
QLD,2020-03-27,11,31,2617,1842,50743,184,924,3,0,41
QLD,2020-03-28,11,31,1426,1766,52169,195,955,3,0,42
QLD,2020-03-29,6,18,900,1726,53069,201,973,3,0,43
QLD,2020-03-30,4,14,2389,1774,55458,205,987,4,1,44
QLD,2020-03-31,5,14,1975,1808,57433,210,1001,4,0,45
QLD,2020-04-01,3,10,1750,1855,59183,213,1011,4,0,46
QLD,2020-04-02,4,12,1470,1882,60653,217,1023,5,1,47
QLD,2020-04-03,1,2,1507,1738,62160,218,1025,5,0,48
QLD,2020-04-04,5,7,752,1629,62912,223,1032,5,0,49
QLD,2020-04-05,1,4,507,1585,63419,224,1036,5,0,50
QLD,2020-04-06,1,1,1661,1584,65080,225,1037,5,0,51
QLD,2020-04-07,0,1,2815,1599,67895,225,1038,5,0,52
QLD,2020-04-08,1,4,2880,1631,70775,226,1042,5,0,53
QLD,2020-04-09,4,7,2632,1689,73407,230,1049,5,0,54
QLD,2020-04-10,1,1,792,1794,74199,231,1050,5,0,55
QLD,2020-04-11,2,2,982,1789,75181,233,1052,5,0,56
QLD,2020-04-12,0,0,760,1805,75941,233,1052,5,0,57
QLD,2020-04-13,0,3,884,1949,76825,233,1055,5,0,58
QLD,2020-04-14,1,2,2621,1991,79446,234,1057,5,0,59
QLD,2020-04-15,2,2,2449,1971,81895,236,1059,5,0,60
QLD,2020-04-16,0,0,2618,1916,84513,236,1059,5,0,61
QLD,2020-04-17,1,1,3054,1876,87567,237,1060,5,0,62
QLD,2020-04-18,0,0,1429,1897,88996,237,1060,5,0,63
QLD,2020-04-19,0,0,995,1901,89991,237,1060,5,0,64
QLD,2020-04-20,1,1,2658,2069,92649,238,1061,5,0,65
QLD,2020-04-21,0,0,2293,2227,94942,238,1061,5,0,66
QLD,2020-04-22,0,0,2512,2252,97454,238,1061,5,0,67
QLD,2020-04-23,0,1,2068,2277,99522,238,1062,5,0,68
QLD,2020-04-24,0,0,2032,2271,101554,238,1062,5,0,69
QLD,2020-04-25,0,0,1098,2153,102652,238,1062,5,0,70
QLD,2020-04-26,0,1,1044,2131,103696,238,1063,5,0,71
QLD,2020-04-27,0,0,3274,2161,106970,238,1063,5,0,72
QLD,2020-04-28,0,1,3255,2325,110225,238,1064,5,0,73
QLD,2020-04-29,1,1,3006,2480,113231,239,1065,5,0,74
QLD,2020-04-30,0,1,2819,2566,116050,239,1066,5,0,75
QLD,2020-05-01,0,0,2530,2650,118580,239,1066,5,0,76
QLD,2020-05-02,1,3,1288,2606,119868,240,1069,5,0,77
QLD,2020-05-03,0,0,1099,2587,120967,240,1069,5,0,78
QLD,2020-05-04,0,0,1446,2767,122413,240,1069,5,0,79
QLD,2020-05-05,0,1,5106,2773,127519,240,1070,5,0,80
QLD,2020-05-06,0,0,4617,2797,132136,240,1070,5,0,81
QLD,2020-05-07,0,0,3813,2804,135949,240,1070,5,0,82
QLD,2020-05-08,0,0,3319,2843,139268,240,1070,5,0,83
QLD,2020-05-09,0,0,1369,2674,140637,240,1070,5,0,84
QLD,2020-05-10,0,0,819,2588,141456,240,1070,5,0,85
QLD,2020-05-11,0,0,3746,2515,145202,240,1070,5,0,86
QLD,2020-05-12,0,0,3359,2418,148561,240,1070,5,0,87
QLD,2020-05-13,0,1,3612,2078,152173,240,1071,5,0,88
QLD,2020-05-14,0,2,3124,1770,155297,240,1073,5,0,89
QLD,2020-05-15,0,0,3391,1516,158688,240,1073,5,0,90
